date,division,index
2017-01-01,08,97.725
2018-01-01,08,96.01666666666668
2019-01-01,08,96.4
2020-01-01,08,97.5
2021-01-01,08,97.5
2022-01-01,08,97.49166666666667
2023-01-01,08,94.63333333333333
2024-01-01,08,93.16666666666669
2025-01-01,08,89.21666666666665
1980-01-01,09,69.61976093130144
1981-01-01,09,73.43107469452545
1982-01-01,09,75.28874577161679
1983-01-01,09,74.80744665479145
1984-01-01,09,72.85937593247786
1985-01-01,09,71.95316263003568
1986-01-01,09,72.028469086681
1987-01-01,09,74.20273912868467
1988-01-01,09,75.37573530065374
1989-01-01,09,75.80489857228582
1990-01-01,09,76.46647485032366
1991-01-01,09,78.48834595183723
1992-01-01,09,80.7823044182292
1993-01-01,09,81.15676354435404
1994-01-01,09,81.6808932604761
1995-01-01,09,83.75712192950704
1996-01-01,09,86.50030295212234
1997-01-01,09,86.87486796923613
1998-01-01,09,89.6589903559754
1999-01-01,09,91.94630583049847
2000-01-01,09,92.45
2001-01-01,09,92.36666666666667
2002-01-01,09,92.575
2003-01-01,09,93.14166666666668
2004-01-01,09,92.95833333333331
2005-01-01,09,93.475
2006-01-01,09,94.13333333333333
2007-01-01,09,95.44166666666666
2008-01-01,09,97.06666666666666
2009-01-01,09,98.61666666666667
2010-01-01,09,99.98333333333332
2011-01-01,09,101.96666666666664
2012-01-01,09,103.175
2013-01-01,09,103.26666666666668
2014-01-01,09,104.93333333333334
2015-01-01,09,106.725
2016-01-01,09,109.43333333333334
2017-01-01,09,111.50833333333333
2018-01-01,09,111.00833333333333
2019-01-01,09,111.75833333333333
2020-01-01,09,112.33333333333331
2021-01-01,09,112.84166666666664
2022-01-01,09,115.35833333333332
2023-01-01,09,117.05
2024-01-01,09,119.175
2025-01-01,09,120.53333333333336
2005-01-01,10,90.79166666666669
2006-01-01,10,92.26666666666668
2007-01-01,10,93.88333333333333
2008-01-01,10,96.1
2009-01-01,10,98.33333333333331
2010-01-01,10,100.0
2011-01-01,10,102.23333333333332
2012-01-01,10,104.68333333333334
2013-01-01,10,107.225
2014-01-01,10,109.75
2015-01-01,10,112.4
2016-01-01,10,114.825
2017-01-01,10,116.70833333333331
2018-01-01,10,118.03333333333336
2019-01-01,10,119.69166666666666
2020-01-01,10,120.9
2021-01-01,10,121.05
2022-01-01,10,122.4
2023-01-01,10,124.66666666666669
2024-01-01,10,126.59166666666664
2025-01-01,10,129.45833333333334
2005-01-01,11,83.01666666666667
2006-01-01,11,86.06666666666666
2007-01-01,11,89.26666666666667
2008-01-01,11,95.13333333333333
2009-01-01,11,97.91666666666669
2010-01-01,11,100.0
2011-01-01,11,105.86666666666667
2012-01-01,11,109.00833333333333
2013-01-01,11,111.66666666666669
2014-01-01,11,116.85
2015-01-01,11,121.74166666666667
2016-01-01,11,125.10833333333332
2017-01-01,11,128.24166666666667
2018-01-01,11,130.18333333333334
2019-01-01,11,131.78333333333333
2020-01-01,11,132.36666666666667
2021-01-01,11,132.9
2022-01-01,11,139.53333333333333
2023-01-01,11,147.26666666666668
2024-01-01,11,151.85833333333332
2025-01-01,11,156.71666666666667
2010-01-01,12,99.98333333333332
2011-01-01,12,100.14166666666668
2012-01-01,12,101.4
2013-01-01,12,102.99166666666667
2014-01-01,12,104.48333333333332
2015-01-01,12,108.76666666666668
2016-01-01,12,111.25
2017-01-01,12,111.59999999999998
2018-01-01,12,110.28333333333336
2019-01-01,12,109.89166666666668
2020-01-01,12,109.88333333333334
2021-01-01,12,109.90000000000002
2022-01-01,12,110.075
2023-01-01,12,110.24166666666667
2024-01-01,12,110.5
2025-01-01,12,114.31666666666666
1980-01-01,13,45.86349816458039
1981-01-01,13,50.04742213530344
1982-01-01,13,51.220507915234045
1983-01-01,13,54.51532071853306
1984-01-01,13,55.375214430953925
1985-01-01,13,55.34451264979496
1986-01-01,13,56.08604913882977
1987-01-01,13,56.429874498669456
1988-01-01,13,57.48471906740284
1989-01-01,13,58.99818836441526
1990-01-01,13,60.72922321310098
1991-01-01,13,62.89878000890925
1992-01-01,13,64.31312062417878
1993-01-01,13,66.02624807755303
1994-01-01,13,67.61592592169963
1995-01-01,13,70.46599702491578
1996-01-01,13,72.23516541274874
1997-01-01,13,75.54349845372096
1998-01-01,13,80.83412293877859
1999-01-01,13,82.06721861333399
2000-01-01,13,82.83333333333333
2001-01-01,13,83.43333333333334
2002-01-01,13,84.35833333333333
2003-01-01,13,85.425
2004-01-01,13,86.99166666666667
2005-01-01,13,88.38333333333333
2006-01-01,13,90.38333333333333
2007-01-01,13,91.21666666666664
2008-01-01,13,94.28333333333336
2009-01-01,13,97.75833333333333
2010-01-01,13,100.01666666666668
2011-01-01,13,102.41666666666669
2012-01-01,13,104.4
2013-01-01,13,104.71666666666664
2014-01-01,13,105.35
2015-01-01,13,109.725
2016-01-01,13,112.875
2017-01-01,13,114.19166666666666
2018-01-01,13,112.575
2019-01-01,13,113.0
2020-01-01,13,115.99166666666667
2021-01-01,13,116.55833333333334
2022-01-01,13,118.86666666666667
2023-01-01,13,121.80833333333334
2024-01-01,13,125.46666666666664
2025-01-01,13,130.99166666666667
